iter	RMSE
1812	0.1286449024
1813	0.1286324152
1814	0.1286265462
1815	0.1286260663
1816	0.128618881
1817	0.1286177962
1818	0.1286172401
1819	0.1286112905
1820	0.1285983233
1821	0.1285952519
1822	0.1285835174
1823	0.1285827902
1824	0.1285759809
1825	0.1285702982
1826	0.1285607482
1827	0.1285532616
1828	0.1285470939
1829	0.1285409403
1830	0.1285381187
1831	0.1285326032
1832	0.1285255585
1833	0.1285170531
1834	0.1285077326
1835	0.1284974737
1836	0.1284882055
1837	0.1284749744
1838	0.1284680177
1839	0.1284622927
1840	0.1284537604
1841	0.1284493603
1842	0.1284422997
1843	0.1284286493
1844	0.1284147501
1845	0.1284058187
1846	0.1283995787
1847	0.128394491
1848	0.1283886977
1849	0.1283814716
1850	0.1283811753
1851	0.1283758175
1852	0.1283701332
1853	0.128364543
1854	0.1283572522
1855	0.1283454624
1856	0.1283393223
1857	0.1283303643
1858	0.1283229142
1859	0.1283159935
1860	0.1283116812
1861	0.1283109996
1862	0.1283028883
1863	0.1282932344
1864	0.1282879984
1865	0.1282708019
1866	0.1282666885
1867	0.1282593124
1868	0.1282512753
1869	0.1282474646
1870	0.1282387719
1871	0.1282370468
1872	0.1282322154
1873	0.1282250679
1874	0.1282141989
1875	0.1282067189
1876	0.128200585
1877	0.1281917911
1878	0.1281833532
1879	0.1281757785
1880	0.128169858
1881	0.1281600327
1882	0.1281562544
1883	0.1281454527
1884	0.1281380134
1885	0.1281310141
1886	0.1281177787
1887	0.1281016822
1888	0.1280937469
1889	0.1280862774
1890	0.1280852129
1891	0.1280780077
1892	0.1280731702
1893	0.1280717985
1894	0.1280650205
1895	0.1280584032
1896	0.1280557434
1897	0.1280485243
1898	0.1280371873
1899	0.128022976
1900	0.1280199092
1901	0.1280127482
1902	0.127996984
1903	0.1279903581
1904	0.1279841793
1905	0.1279770174
1906	0.1279704249
1907	0.1279675104
1908	0.127965658
1909	0.1279611987
1910	0.127954805
1911	0.1279464435
1912	0.1279402974
1913	0.1279351456
1914	0.1279234143
1915	0.1279129887
1916	0.1279049549
1917	0.1278935912
1918	0.1278898772
1919	0.127884847
1920	0.1278766601
1921	0.1278710296
1922	0.1278646337
1923	0.127856726
1924	0.1278427204
1925	0.1278377853
1926	0.1278359304
1927	0.1278240954
1928	0.1278156641
1929	0.1278065919
1930	0.1278019557
1931	0.127788101
1932	0.1277827892
1933	0.1277804087
1934	0.1277690082
1935	0.1277638617
1936	0.1277543904
1937	0.1277489121
1938	0.127744269
1939	0.1277329754
1940	0.1277230937
1941	0.1277139722
1942	0.1277093934
1943	0.1276914028
1944	0.1276820632
1945	0.1276744397
1946	0.12766909
1947	0.1276630564
1948	0.1276566385
1949	0.1276485771
1950	0.1276384619
1951	0.1276325155
1952	0.1276291663
1953	0.1276236645
1954	0.1276192965
1955	0.1276160867
1956	0.1276094816
1957	0.1276054914
1958	0.1275976164
1959	0.1275894078
1960	0.1275779689
1961	0.1275674145
1962	0.1275591428
1963	0.1275506578
1964	0.1275434022
1965	0.1275386853
1966	0.127534038
1967	0.1275260999
1968	0.1275217308
1969	0.127514198
1970	0.1275062996
1971	0.1274996915
1972	0.1274882546
1973	0.1274823178
1974	0.1274739949
1975	0.1274677031
1976	0.1274611116
1977	0.1274551885
1978	0.1274541721
1979	0.1274373523
1980	0.1274256229
1981	0.1274180754
1982	0.1274079243
1983	0.1274015693
1984	0.1273930764
1985	0.1273839954
1986	0.1273829307
1987	0.1273781263
1988	0.1273670839
1989	0.1273592469
1990	0.1273548735
1991	0.127349328
1992	0.1273449497
1993	0.1273390934
1994	0.1273350977
1995	0.1273300125
1996	0.1273237488
1997	0.1273179821
1998	0.127311311
1999	0.1273014155
2000	0.1272935924
2001	0.1272930396
2002	0.1272874924
2003	0.1272828829
2004	0.1272757709
2005	0.1272701933
2006	0.1272638983
2007	0.1272600488
2008	0.1272534913
2009	0.1272509334
2010	0.127237408
2011	0.1272320999
2012	0.1272206835
2013	0.1272176816
2014	0.1272121499
2015	0.1272072285
2016	0.1272045887
2017	0.1272008594
2018	0.127196112
2019	0.1271900169
2020	0.1271858118
2021	0.1271851871
2022	0.1271791733
2023	0.1271711615
2024	0.1271664399
2025	0.1271621078
2026	0.127158
2027	0.1271498007
2028	0.1271444185
2029	0.1271384633
2030	0.1271324643
2031	0.1271171986
2032	0.1271166044
2033	0.12711543
2034	0.1271106392
2035	0.1271060583
2036	0.1270985443
2037	0.1270920048
2038	0.1270888564
2039	0.1270777643
2040	0.1270734514
2041	0.1270730522
2042	0.1270675987
2043	0.1270601377
2044	0.1270526488
2045	0.1270511661
2046	0.1270438841
2047	0.1270434215
2048	0.1270378254
2049	0.1270317813
2050	0.1270212207
2051	0.1270132721
2052	0.1270103058
2053	0.1270057898
2054	0.1269967641
2055	0.1269922273
2056	0.1269882931
2057	0.1269861846
2058	0.1269795223
2059	0.126975234
2060	0.1269675621
2061	0.1269631984
2062	0.1269576348
2063	0.1269553358
2064	0.1269551749
2065	0.1269543436
2066	0.1269438052
2067	0.1269361392
2068	0.1269321547
2069	0.126915551
2070	0.1269072674
2071	0.126900657
2072	0.1268923024
2073	0.1268916853
2074	0.1268893867
2075	0.1268839551
2076	0.1268831891
2077	0.1268760634
2078	0.1268706348
2079	0.1268646471
2080	0.1268579336
2081	0.1268546178
2082	0.1268438094
2083	0.1268402446
2084	0.1268363797
2085	0.1268300475
2086	0.1268260896
2087	0.1268140354
2088	0.1268063719
2089	0.1267991225
2090	0.1267892062
2091	0.1267885899
2092	0.126774245
2093	0.1267624502
2094	0.1267561777
2095	0.1267548148
2096	0.1267497765
2097	0.1267442811
2098	0.1267417957
2099	0.1267387877
2100	0.1267316687
2101	0.1267292843
2102	0.126723452
2103	0.1267173033
2104	0.1267116214
2105	0.1267087451
2106	0.1266996195
2107	0.1266821829
2108	0.1266708125
2109	0.1266648399
2110	0.1266572844
2111	0.1266497738
2112	0.1266453125
2113	0.1266401758
2114	0.1266335539
2115	0.1266331431
2116	0.1266299715
2117	0.1266238211
2118	0.126618935
2119	0.1266137716
2120	0.1266060587
2121	0.1266014463
2122	0.1265962854
2123	0.1265902071
2124	0.1265853965
2125	0.1265756481
2126	0.1265697893
2127	0.1265696135
2128	0.1265654816
2129	0.1265585957
2130	0.1265543717
2131	0.1265523247
2132	0.1265450776
2133	0.1265374384
2134	0.1265314604
2135	0.1265228411
2136	0.1265148975
2137	0.1265092745
2138	0.1265051174
2139	0.1265046891
2140	0.1264930459
2141	0.1264887893
2142	0.1264878727
2143	0.1264832068
2144	0.1264752255
2145	0.1264694625
2146	0.126464417
2147	0.1264603412
2148	0.126449083
2149	0.1264433519
2150	0.1264398877
2151	0.1264343542
2152	0.1264299743
2153	0.1264273412
2154	0.1264201028
2155	0.1264148804
2156	0.126409801
2157	0.1264072259
2158	0.1264047156
2159	0.1264009491
2160	0.1263935413
2161	0.1263901949
2162	0.1263850741
2163	0.1263758166
2164	0.1263693924
2165	0.1263656921
2166	0.1263650063
2167	0.1263578871
2168	0.1263550834
2169	0.1263461406
2170	0.1263414748
2171	0.1263356011
2172	0.1263285035
2173	0.1263211155
2174	0.1263129074
2175	0.1263043723
2176	0.1262987
2177	0.126286471
2178	0.1262826501
2179	0.126282366
2180	0.1262726406
2181	0.126264601
2182	0.1262604658
2183	0.126249215
2184	0.1262449854
2185	0.1262401983
2186	0.1262341663
2187	0.1262289725
2188	0.1262278357
2189	0.1262242257
2190	0.1262210805
2191	0.1262121916
2192	0.1262076741
2193	0.1262025863
2194	0.1261931429
2195	0.126189887
2196	0.1261870322
2197	0.1261834501
2198	0.1261773237
2199	0.1261760818
2200	0.1261696882
2201	0.126163723
2202	0.1261579209
2203	0.1261523855
2204	0.1261455414
2205	0.1261390085
2206	0.1261368255
2207	0.1261314256
2208	0.1261307551
2209	0.1261244546
2210	0.1261197271
2211	0.1261095979
2212	0.1261050256
2213	0.1260995629
2214	0.1260928543
2215	0.1260812514
2216	0.1260741119
2217	0.1260705883
2218	0.1260664996
2219	0.1260573044
2220	0.1260483316
2221	0.1260469427
2222	0.1260372914
2223	0.1260356748
2224	0.1260354472
2225	0.1260250732
2226	0.1260204965
2227	0.1260131331
2228	0.1260061551
2229	0.125997025
2230	0.1259917996
2231	0.1259866529
2232	0.1259829346
2233	0.1259780474
2234	0.1259735666
2235	0.12596724
2236	0.1259663955
2237	0.1259629714
2238	0.1259587721
2239	0.1259547363
2240	0.1259474364
2241	0.1259412584
2242	0.1259314773
2243	0.125924426
2244	0.1259198727
2245	0.1259152511
2246	0.1259101771
2247	0.1259053706
2248	0.1259011955
2249	0.1258914325
2250	0.1258824055
2251	0.1258727753
2252	0.1258609507
2253	0.1258580439
2254	0.1258531996
